pen	n.笔；钢笔
Wednesday	n.周三
Thursday	n.周四
Friday	n.周五
Saturday	n.周六
Sunday	n.周日
January	n.一月
February	n.二月
March	n.三月
April	n.四月
May	n.五月
June	n.六月
July	n.七月
August	n.八月
September	n.九月
October	n.十月
November	n.十一月
December	n.十二月
red	adj.红色的
blue	adj.蓝色的
green	adj.绿色的
yellow	adj.黄色的
white	adj.白色的
black	adj.黑色的
pink	adj.粉色的
purple	adj.紫色的
one	num.一
two	num.二
three	num.三
four	num.四
five	num.五
six	num.六
seven	num.七
eight	num.八
nine	num.九
ten	num.十
hundred	num.百
thousand	num.千
morning	n.早上
afternoon	n.下午
evening	n.晚上
night	n.夜晚
breakfast	n.早餐
lunch	n.午餐
dinner	n.晚餐
Monday	n.周一
Tuesday	n.周二
Wednesday	n.周三
Thursday	n.周四
Friday	n.周五
Saturday	n.周六
Sunday	n.周日
January	n.一月
February	n.二月
March	n.三月
April	n.四月
May	n.五月
June	n.六月
July	n.七月
August	n.八月
September	n.九月
October	n.十月
November	n.十一月
December	n.十二月
spring	n.春天
summer	n.夏天
autumn	n.秋天
winter	n.冬天
north	n.北方
south	n.南方
east	n.东方
west	n.西方
left	n.左边
right	n.右边
front	n.前面
back	n.后面
top	n.顶部
bottom	n.底部
inside	n.里面
outside	n.外面
above	adj.上面的
below	adj.下面的
before	adv.以前
after	adv.以后
always	adv.总是
never	adv.从不
sometimes	adv.有时
often	adv.经常
usually	adv.通常
already	adv.已经
still	adv.仍然
again	adv.再
together	adv.一起
alone	adv.单独
here	adv.这里
there	adv.那里
where	adv.哪里
when	adv.什么时候
why	adv.为什么
how	adv.怎样
what	pron.什么
who	pron.谁
which	pron.哪个
this	pron.这个
that	pron.那个
these	pron.这些
those	pron.那些
my	pron.我的
your	pron.你的
his	pron.他的
her	pron.她的
our	pron.我们的
their	pron.他们的
and	conj.和
but	conj.但是
or	conj.或者
because	conj.因为
so	conj.所以
if	conj.如果
then	adv.那么
yes	adv.是
no	adv.不
please	adv.请
thank	v.谢谢
sorry	adj.对不起
hello	int.你好
goodbye	int.再见
excuse	v.打扰
welcome	adj.欢迎
beautiful	adj.美丽的
ugly	adj.丑的
pretty	adj.漂亮的
handsome	adj.英俊的
cute	adj.可爱的
smart	adj.聪明的
stupid	adj.愚蠢的
kind	adj.善良的
brave	adj.勇敢的
shy	adj.害羞的
lazy	adj.懒的
busy	adj.忙的
free	adj.空闲的
rich	adj.富的
poor	adj.穷的
young	adj.年轻的
strong	adj.强壮的
weak	adj.弱的
tall	adj.高的
short	adj.矮的；短的
fat	adj.胖的
thin	adj.瘦的
long	adj.长的
wide	adj.宽的
narrow	adj.窄的
deep	adj.深的
shallow	adj.浅的
heavy	adj.重的
light	adj.轻的
hard	adj.硬的；难的
soft	adj.软的
dry	adj.干的
wet	adj.湿的
clean	adj.干净的
dirty	adj.脏的
loud	adj.大声的
quiet	adj.安静的
safe	adj.安全的
dangerous	adj.危险的
easy	adj.容易的
difficult	adj.困难的
important	adj.重要的
possible	adj.可能的
impossible	adj.不可能的
true	adj.真的
false	adj.假的
right	adj.对的
wrong	adj.错的
same	adj.同样的
different	adj.不同的
special	adj.特别的
normal	adj.普通的
strange	adj.奇怪的
common	adj.常见的
popular	adj.流行的
famous	adj.著名的
modern	adj.现代的
ancient	adj.古代的
happy	adj.开心的
sad	adj.伤心的
angry	adj.生气的
afraid	adj.害怕的
tired	adj.累的
hungry	adj.饿的
thirsty	adj.渴的
sick	adj.生病的
healthy	adj.健康的
dead	adj.死的
alive	adj.活的
ready	adj.准备好的
busy	adj.忙的
careful	adj.小心的
honest	adj.诚实的
polite	adj.有礼貌的
rude	adj.粗鲁的
generous	adj.慷慨的
selfish	adj.自私的
patient	adj.耐心的
nervous	adj.紧张的
calm	adj.平静的
excited	adj.兴奋的
bored	adj.无聊的
surprised	adj.惊讶的
confused	adj.困惑的
worried	adj.担心的
proud	adj.骄傲的
jealous	adj.嫉妒的
grateful	adj.感激的
lonely	adj.孤独的
curious	adj.好奇的
brave	adj.勇敢的
shy	adj.害羞的
gentle	adj.温柔的
rough	adj.粗糙的
smooth	adj.光滑的
sharp	adj.锋利的
blunt	adj.钝的
thick	adj.厚的
thin	adj.薄的
flat	adj.平的
round	adj.圆的
square	adj.方的
straight	adj.直的
curved	adj.弯曲的
empty	adj.空的
full	adj.满的
open	adj.开的
closed	adj.关的
public	adj.公共的
private	adj.私人的
free	adj.免费的
cheap	adj.便宜的
expensive	adj.贵的
valuable	adj.有价值的
useless	adj.无用的
useful	adj.有用的
necessary	adj.必要的
basic	adj.基本的
simple	adj.简单的
complex	adj.复杂的
clear	adj.清楚的
obvious	adj.明显的
hidden	adj.隐藏的
visible	adj.可见的
invisible	adj.看不见的
